lesson_id,title,target_runtime,workbook_pages,video_script_markdown,caption_file,lesson_json
NSR-01,What Is the Nervous System and Why Does It Matter for Parenting?,4-5 minutes,9,video_scripts_md/NSR-01_what-is-the-nervous-system_video_script.md,captions_srt/NSR-01_what-is-the-nervous-system.srt,lesson_json/NSR-01_what-is-the-nervous-system.json
NSR-02,"Your Brain in Three Parts - Survival, Emotional and Thinking",5 minutes,9,video_scripts_md/NSR-02_brain-in-three-systems_video_script.md,captions_srt/NSR-02_brain-in-three-systems.srt,lesson_json/NSR-02_brain-in-three-systems.json
NSR-03,"Fight, Flight, Freeze and Fawn - Recognising Your Survival Responses",5-6 minutes,9,video_scripts_md/NSR-03_fight-flight-freeze-fawn_video_script.md,captions_srt/NSR-03_fight-flight-freeze-fawn.srt,lesson_json/NSR-03_fight-flight-freeze-fawn.json
NSR-04,What Triggers Mean and Where They Come From,5 minutes,9,video_scripts_md/NSR-04_understanding-triggers_video_script.md,captions_srt/NSR-04_understanding-triggers.srt,lesson_json/NSR-04_understanding-triggers.json
NSR-05,How Your Nervous System Affects Your Children,5 minutes,9,video_scripts_md/NSR-05_nervous-system-affects-children_video_script.md,captions_srt/NSR-05_nervous-system-affects-children.srt,lesson_json/NSR-05_nervous-system-affects-children.json
NSR-06,Window of Tolerance - Finding and Expanding Your Calm Zone,5 minutes,9,video_scripts_md/NSR-06_window-of-tolerance_video_script.md,captions_srt/NSR-06_window-of-tolerance.srt,lesson_json/NSR-06_window-of-tolerance.json
NSR-07,What Dysregulation Looks and Feels Like in Your Body,5 minutes,9,video_scripts_md/NSR-07_dysregulation-in-the-body_video_script.md,captions_srt/NSR-07_dysregulation-in-the-body.srt,lesson_json/NSR-07_dysregulation-in-the-body.json
NSR-08,Early Warning Signs - Noticing Before You React,4-5 minutes,9,video_scripts_md/NSR-08_early-warning-signs_video_script.md,captions_srt/NSR-08_early-warning-signs.srt,lesson_json/NSR-08_early-warning-signs.json
NSR-09,Grounding Techniques - Bringing Yourself Back to the Present,6 minutes,9,video_scripts_md/NSR-09_grounding-techniques_video_script.md,captions_srt/NSR-09_grounding-techniques.srt,lesson_json/NSR-09_grounding-techniques.json
NSR-10,Breathing and Body-Based Regulation Tools,6 minutes,9,video_scripts_md/NSR-10_breathing-and-body-tools_video_script.md,captions_srt/NSR-10_breathing-and-body-tools.srt,lesson_json/NSR-10_breathing-and-body-tools.json
NSR-11,Co-Regulation - How Calm Parents Create Calm Children,6 minutes,9,video_scripts_md/NSR-11_co-regulation_video_script.md,captions_srt/NSR-11_co-regulation.srt,lesson_json/NSR-11_co-regulation.json
NSR-12,Building My Personal Regulation Plan - Putting It All Together,7 minutes,9,video_scripts_md/NSR-12_personal-regulation-plan_video_script.md,captions_srt/NSR-12_personal-regulation-plan.srt,lesson_json/NSR-12_personal-regulation-plan.json
